Month,Destination,Searched As,Dates,Hotel Price / Night,Flight Price Range,Flight Price Low,Flight Price High,Peak Season Months (Raw),Peak Season Months (List),Off Season Months (Raw),Off Season Months (List),Flight 1 Airline,Flight 1 Stops,Flight 1 Return Stops,Flight 1 Duration,Flight 1 Departure Airport,Flight 1 Arrival Airport,Flight 1 Price,Flight 1 Is Alternate Airport,Flight 1 Alternate Info,Flight 2 Airline,Flight 2 Stops,Flight 2 Return Stops,Flight 2 Duration,Flight 2 Departure Airport,Flight 2 Arrival Airport,Flight 2 Price,Flight 2 Is Alternate Airport,Flight 2 Alternate Info,Flight 3 Airline,Flight 3 Stops,Flight 3 Return Stops,Flight 3 Duration,Flight 3 Departure Airport,Flight 3 Arrival Airport,Flight 3 Price,Flight 3 Is Alternate Airport,Flight 3 Alternate Info,Timestamp
4월,AGR,아그라,4월 23일~29일,"₩28,918","₩540,000~720,000","₩540,000","₩720,000",10월 및 12월~2월,"2,10,12",4월~7월,"4,5,6,7",비엣젯항공,경유 1회,경유 1회,15시간 20분,ICN,DEL,"₩498,457",Yes,아그라까지 4시간,에어인디아,직항,직항,8시간 5분,ICN,DEL,"₩675,000",Yes,아그라까지 4시간,대한항공,직항,직항,8시간 30분,ICN,DEL,"₩1,082,324",Yes,아그라까지 4시간,2026-03-06 13:27:08
3월,AGR,아그라,3월 13일~22일,"₩26,668","₩540,000~720,000","₩540,000","₩720,000",10월 및 12월~2월,"2,10,12",4월~7월,"4,5,6,7",에어인디아,직항,직항,8시간 55분,ICN,DEL,"₩665,000",Yes,아그라까지 4시간,THAI,경유 1회,경유 1회,11시간 15분,ICN,DEL,"₩1,066,100",Yes,아그라까지 4시간,대한항공,직항,경유 1회,9시간 5분,ICN,DEL,"₩1,515,400",Yes,아그라까지 4시간,2026-03-06 13:27:12
4월,AKL,AKL,4월 25일~30일,"₩119,989","₩1,150,000~1,700,000","₩1,150,000","₩1,700,000",11월~2월,"2,11",4월~7월,"4,5,6,7",젯스타,경유 1회,경유 1회,15시간 15분,ICN,AKL,"₩1,105,357",No,,캐세이패시픽항공 콴타스항공,경유 2회,경유 2회,21시간 25분,ICN,AKL,"₩1,357,400",No,,캐세이패시픽항공,경유 1회,경유 1회,19시간 10분,ICN,AKL,"₩1,563,200",No,,2026-03-06 13:27:31
3월,AKL,AKL,3월 30일~4월 7일,"₩122,828","₩990,000~1,550,000","₩990,000","₩1,550,000",11월~2월,"2,11",4월~7월,"4,5,6,7",중국남방항공,경유 1회,경유 2회,17시간 50분,ICN,AKL,"₩1,158,200",No,,중국남방항공,경유 2회,경유 2회,23시간 55분,ICN,AKL,"₩1,163,000",No,,중국남방항공,경유 2회,경유 2회,23시간 55분,ICN,AKL,"₩1,163,000",No,,2026-03-06 13:27:35
4월,AMS,AMS,4월 3일~9일,"₩460,345","₩1,000,000~1,450,000","₩1,000,000","₩1,450,000",7월~10월,"7,8,9,10",2월~5월,"2,3,4,5",에어프랑스 KLM,경유 1회,경유 1회,16시간 45분,ICN,AMS,"₩972,600",No,,에티하드항공,경유 1회,경유 1회,21시간 15분,ICN,AMS,"₩1,024,200",No,,에미레이트항공,경유 1회,경유 1회,17시간 35분,ICN,AMS,"₩1,297,800",No,,2026-03-06 13:27:54
3월,AMS,AMS,3월 27일~4월 5일,"₩409,791","₩900,000~1,250,000","₩900,000","₩1,250,000",7월~10월,"7,8,9,10",2월~5월,"2,3,4,5",에티하드항공,경유 1회,경유 1회,26시간 50분,ICN,AMS,"₩979,200",No,,카타르항공,경유 1회,경유 1회,21시간,ICN,AMS,"₩1,319,900",No,,대한항공 KLM,경유 1회,경유 1회,17시간 50분,ICN,AMS,"₩1,505,800",No,,2026-03-06 13:27:58
4월,AYT,AYT,4월 27일~5월 3일,"₩94,542","₩1,500,000~2,200,000","₩1,500,000","₩2,200,000",6월~9월,"6,7,8,9",1월~2월 및 4월~5월,"1,2,4,5",아스타나항공,경유 1회,경유 1회,25시간 5분,ICN,AYT,"₩1,558,400",No,,터키항공,경유 1회,경유 1회,14시간 45분,ICN,AYT,"₩1,971,000",No,,아스타나항공,경유 2회,경유 2회,29시간 15분,ICN,AYT,"₩1,802,000",No,,2026-03-06 13:28:16
3월,AYT,AYT,3월 26일~4월 1일,"₩78,814","₩1,250,000~1,950,000","₩1,250,000","₩1,950,000",6월~9월,"6,7,8,9",1월~2월 및 4월~5월,"1,2,4,5",터키항공,경유 1회,경유 1회,18시간 10분,ICN,AYT,"₩1,761,000",No,,터키항공,경유 1회,경유 1회,14시간 40분,ICN,AYT,"₩2,295,500",No,,THAI 터키항공,경유 2회,경유 2회,23시간 55분,ICN,AYT,"₩2,764,600",No,,2026-03-06 13:28:21
4월,BCN,BCN,4월 3일~9일,"₩313,395","₩1,000,000~1,450,000","₩1,000,000","₩1,450,000",8월~10월 및 12월,"8,9,10,12",4월~7월,"4,5,6,7",에어프랑스,경유 1회,경유 1회,18시간 5분,ICN,BCN,"₩949,300",No,,에티하드항공,경유 1회,경유 1회,20시간 50분,ICN,BCN,"₩1,066,400",No,,카타르항공,경유 1회,경유 1회,20시간 20분,ICN,BCN,"₩1,286,800",No,,2026-03-06 13:28:38
3월,BCN,BCN,3월 27일~4월 5일,"₩302,890","₩840,000~1,250,000","₩840,000","₩1,250,000",8월~10월 및 12월,"8,9,10,12",4월~7월,"4,5,6,7",에티하드항공,경유 1회,경유 1회,21시간 20분,ICN,BCN,"₩976,500",No,,카타르항공,경유 1회,경유 1회,20시간 35분,ICN,BCN,"₩1,253,600",No,,아시아나항공,직항,경유 1회,14시간 35분,ICN,BCN,"₩1,657,700",No,,2026-03-06 13:28:43
4월,BER,BER,4월 3일~9일,"₩184,992","₩1,050,000~1,650,000","₩1,050,000","₩1,650,000",7월~10월,"7,8,9,10",1월~4월,"1,2,3,4",에어프랑스,경유 1회,경유 1회,18시간 5분,ICN,BER,"₩1,027,900",No,,대한항공 에어프랑스,경유 1회,경유 1회,18시간 25분,ICN,BER,"₩1,206,700",No,,핀란드항공,경유 1회,경유 1회,17시간 15분,ICN,BER,"₩1,453,600",No,,2026-03-06 13:29:00
3월,BER,BER,3월 30일~4월 8일,"₩179,194","₩990,000~1,500,000","₩990,000","₩1,500,000",7월~10월,"7,8,9,10",1월~4월,"1,2,3,4",에어프랑스,경유 1회,경유 1회,28시간 15분,ICN,BER,"₩1,234,500",No,,에어프랑스,경유 1회,경유 1회,18시간 5분,ICN,BER,"₩1,408,000",No,,KLM,경유 1회,경유 1회,16시간 55분,ICN,BER,"₩1,601,000",No,,2026-03-06 13:29:06
4월,BKI,BKI,4월 11일~17일,"₩46,035","₩170,000~395,000","₩170,000","₩395,000","3월, 9월 및 12월~1월","1,3,9,12",4월~7월,"4,5,6,7",제주항공,직항,직항,5시간 20분,ICN,BKI,"₩239,900",No,,Batik Air,직항,직항,5시간 25분,ICN,BKI,"₩262,600",No,,에어아시아 X 에어아시아,경유 1회,경유 1회,10시간 30분,ICN,BKI,"₩299,220",No,,2026-03-06 13:29:25
3월,BKI,BKI,3월 21일~30일,"₩46,114","₩300,000~475,000","₩300,000","₩475,000","3월, 9월 및 12월~1월","1,3,9,12",4월~7월,"4,5,6,7",제주항공,직항,직항,5시간 40분,ICN,BKI,"₩259,900",No,,에어아시아,직항,직항,5시간 15분,ICN,BKI,"₩312,270",No,,에어아시아 X 에어아시아,경유 1회,경유 1회,15시간 45분,ICN,BKI,"₩428,657",No,,2026-03-06 13:29:29
4월,BKK,BKK,4월 25일~5월 2일,"₩46,435","₩310,000~445,000","₩310,000","₩445,000",3월 및 11월~1월,"1,3,11",4월~7월,"4,5,6,7",진에어,직항,직항,6시간,ICN,BKK,"₩327,600",No,,티웨이항공,직항,직항,6시간 5분,ICN,BKK,"₩419,600",No,,제주항공,직항,직항,6시간 5분,ICN,BKK,"₩427,000",No,,2026-03-06 13:29:47
